id,title,genres,averageRating,numVotes,releaseYear
tt5929776,"Before the Flood","Documentary, News",8.2,29232,2016
tt7392212,Rangasthalam,"Action, Drama",8.2,29058,2018
tt0049902,"A Man Escaped","Drama, Thriller, War",8.2,28123,1956
tt26458038,"Manjummel Boys","Adventure, Drama, Thriller",8.2,26284,2024
tt4983780,Maanaadu,"Action, Adventure, Sci-Fi",8.2,26165,2021
tt0466460,"Khosla Ka Ghosla!","Comedy, Crime, Drama",8.2,25658,2006
tt0100234,Close-Up,"Biography, Crime, Drama",8.2,24588,1990
tt0054248,"Rocco and His Brothers","Crime, Drama, Sport",8.2,23820,1960
tt0042804,"The Young and the Damned","Crime, Drama",8.2,22696,1950
tt0041154,"Late Spring","Comedy, Drama",8.2,20222,1949
tt25433734,"Hi Nanna","Drama, Family, Romance",8.2,19401,2023
tt0070233,"Ivan Vasilyevich Changes His Profession","Adventure, Comedy, Sci-Fi",8.2,19293,1973
tt0100332,"Paris Is Burning",Documentary,8.2,18963,1990
tt0117293,"Paradise Lost: The Child Murders at Robin Hood Hills","Crime, Documentary",8.2,18731,1996
tt7019942,"Super Deluxe","Comedy, Crime, Drama",8.2,18668,2019
tt5460658,"Life and a Day",Drama,8.2,18371,2016
tt0422320,Ghilli,"Action, Drama, Romance",8.2,18091,2004
tt2181831,Shahid,"Biography, Drama",8.2,18084,2012
tt0050371,"A Face in the Crowd","Drama, Music",8.2,18064,1957
tt0081059,"Lion of the Desert","Biography, Drama, History",8.2,18045,1980
tt0048452,Ordet,Drama,8.2,18040,1955
tt7060460,"Theeran Adhigaram Ondru","Action, Crime, Thriller",8.2,17832,2017
tt6380520,"Dhuruvangal Pathinaaru","Crime, Drama, Mystery",8.2,17506,2016
tt0195231,Satya,"Action, Crime, Drama",8.2,17483,1998
tt27118357,Amaran,"Action, Biography, Drama",8.2,17468,2024
tt2218988,"Ustad Hotel","Comedy, Drama",8.2,17456,2012
tt0048956,Aparajito,Drama,8.2,16681,1956
tt0471571,Athadu,"Action, Crime, Drama",8.2,15549,2005
tt0023042,"I Am a Fugitive from a Chain Gang","Crime, Drama, Film-Noir",8.2,14939,1932
tt1180583,"Vaaranam Aayiram","Action, Drama, Musical",8.2,14939,2008
tt9500372,"Pocket Hercules: Naim Süleymanoglu","Biography, Drama, History",8.2,14704,2019
tt3569782,Jigarthanda,"Comedy, Crime, Drama",8.2,14111,2014
tt0101985,"A Brighter Summer Day","Crime, Drama, Romance",8.2,13733,1991
tt9124428,Champion,"Biography, Drama, Romance",8.2,13613,2018
tt0056512,"The Easy Life","Comedy, Drama",8.2,13343,1962
tt0111341,Satantango,Drama,8.2,13156,1994
tt27922706,Chhaava,"Action, Drama, History",8.2,12876,2025
tt0052600,"Ballad of a Soldier","Drama, Romance, War",8.2,11712,1959
tt19811010,"The Remarkable Life of Ibelin","Animation, Biography, Documentary",8.2,11396,2024
tt0058604,"I Am Cuba",Drama,8.2,11319,1964
tt0076727,"Office Romance","Comedy, Drama, Romance",8.2,10923,1977
tt0075404,"The Ascent","Drama, War",8.2,10869,1977
tt3153634,Hope,Drama,8.2,10546,2013
tt0843326,Bommarillu,"Comedy, Drama, Romance",8.2,10412,2006
tt0059527,"The Shop on Main Street","Drama, War",8.2,10053,1965
tt0325980,"Pirates of the Caribbean: The Curse of the Black Pearl","Action, Adventure, Fantasy",8.1,1253155,2003
tt0434409,"V for Vendetta","Action, Drama, Sci-Fi",8.1,1207769,2005
tt1392190,"Mad Max: Fury Road","Action, Adventure, Sci-Fi",8.1,1154245,2015
